reference_path,query_path,label,pair_type,writer_id_ref,writer_id_query
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_26_7.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_26_22.png,0,skilled_forgery,26,26
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_38_9.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_38_23.png,0,skilled_forgery,38,38
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_36_18.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_36_21.png,1,genuine_genuine,36,36
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_30_5.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_30_19.png,0,skilled_forgery,30,30
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_5_14.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_5_19.png,1,genuine_genuine,5,5
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_37_16.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_37_10.png,0,skilled_forgery,37,37
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_26_3.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_26_6.png,0,skilled_forgery,26,26
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_26_11.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_18_15.png,0,random_forgery,26,18
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_19_15.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_18_19.png,0,random_forgery,19,18
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_5_10.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_5_20.png,1,genuine_genuine,5,5
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_26_21.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_26_10.png,0,skilled_forgery,26,26
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_45_20.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_45_8.png,1,genuine_genuine,45,45
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_49_10.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_49_19.png,0,skilled_forgery,49,49
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_12_16.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_4_22.png,0,random_forgery,12,4
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_10_11.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_10_14.png,0,skilled_forgery,10,10
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_12_6.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_12_24.png,0,skilled_forgery,12,12
