model,writer_id,n_pairs,accuracy,FAR,FRR
combined,6,375,0.7973333333333333,0.29333333333333333,0.06666666666666667
combined,13,375,0.728,0.3288888888888889,0.18666666666666668
combined,14,375,0.8853333333333333,0.035555555555555556,0.23333333333333334
combined,20,375,0.8693333333333333,0.13777777777777778,0.12
combined,27,375,0.728,0.3511111111111111,0.15333333333333332
combined,32,375,0.68,0.4488888888888889,0.12666666666666668
combined,33,375,0.8053333333333333,0.18666666666666668,0.20666666666666667
combined,42,375,0.9813333333333333,0.02666666666666667,0.006666666666666667
combined,44,375,0.7573333333333333,0.38222222222222224,0.03333333333333333
combined,50,375,0.704,0.4888888888888889,0.006666666666666667
