fold,n_selected_features,selected_features,accuracy,precision,recall,f1,roc_auc
0,12,"hu_0,hu_1,hu_2,hu_3,hu_5,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,baseline_ratio,ink_intensity_mean,ink_intensity_std",0.9097222222222222,0.9338235294117647,0.8819444444444444,0.9071428571428571,0.9792390046296295
1,12,"hu_0,hu_1,hu_2,hu_3,hu_5,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,baseline_ratio,ink_intensity_mean,ink_intensity_std",0.9027777777777778,0.9603174603174603,0.8402777777777778,0.8962962962962963,0.9557532793209877
2,14,"hu_0,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,baseline_ratio,ink_intensity_mean,ink_intensity_std",0.8055555555555556,0.7933333333333333,0.8263888888888888,0.8095238095238095,0.8990162037037036
3,10,"hu_0,hu_1,hu_6,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,baseline_ratio,ink_intensity_mean,ink_intensity_std",0.8194444444444444,0.7613636363636364,0.9305555555555556,0.8375,0.9485194830246912
4,12,"hu_0,hu_1,hu_2,hu_3,hu_5,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,baseline_ratio,ink_intensity_mean,ink_intensity_std",0.9201388888888888,0.8853503184713376,0.9652777777777778,0.9235880398671097,0.9862316743827161
5,13,"hu_0,hu_1,hu_2,hu_3,hu_5,hu_6,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,baseline_ratio,ink_intensity_mean,ink_intensity_std",0.9083333333333333,0.9537037037037037,0.8583333333333333,0.9035087719298246,0.9617361111111111
6,14,"hu_0,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,baseline_ratio,ink_intensity_mean,ink_intensity_std",0.8625,0.8222222222222222,0.925,0.8705882352941177,0.8822222222222222
7,13,"hu_0,hu_1,hu_2,hu_3,hu_4,hu_5,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,baseline_ratio,ink_intensity_mean,ink_intensity_std",0.9125,0.8837209302325582,0.95,0.9156626506024096,0.9800000000000001
8,14,"hu_0,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,baseline_ratio,ink_intensity_mean,ink_intensity_std",0.9166666666666666,0.9310344827586207,0.9,0.9152542372881356,0.9695833333333334
9,14,"hu_0,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,baseline_ratio,ink_intensity_mean,ink_intensity_std",0.8208333333333333,0.8666666666666667,0.7583333333333333,0.8088888888888889,0.9427430555555556
