fold,n_selected_features,selected_features,accuracy,precision,recall,f1,roc_auc
0,10,"hu_0,hu_1,hu_2,hu_3,hu_5,hu_6,glcm_contrast,glcm_homogeneity,glcm_correlation,baseline_ratio",0.6979166666666666,0.6912751677852349,0.7152777777777778,0.7030716723549488,0.7822145061728396
1,9,"hu_0,hu_1,hu_2,hu_3,hu_6,glcm_contrast,glcm_homogeneity,glcm_correlation,baseline_ratio",0.6215277777777778,0.5945945945945946,0.7638888888888888,0.668693009118541,0.7058256172839505
2,8,"hu_0,hu_2,hu_3,hu_5,glcm_contrast,glcm_homogeneity,glcm_correlation,baseline_ratio",0.5659722222222222,0.559748427672956,0.6180555555555556,0.5874587458745875,0.6228057484567902
3,8,"hu_0,hu_1,hu_2,hu_3,glcm_contrast,glcm_homogeneity,glcm_correlation,baseline_ratio",0.6701388888888888,0.6580645161290323,0.7083333333333334,0.6822742474916388,0.7529899691358025
4,9,"hu_0,hu_2,hu_3,hu_5,hu_6,glcm_contrast,glcm_homogeneity,glcm_correlation,baseline_ratio",0.6388888888888888,0.6492537313432836,0.6041666666666666,0.6258992805755396,0.7160493827160493
5,6,"hu_0,hu_3,glcm_contrast,glcm_homogeneity,glcm_correlation,baseline_ratio",0.6458333333333334,0.6422764227642277,0.6583333333333333,0.6502057613168725,0.746423611111111
6,10,"hu_0,hu_1,hu_2,hu_3,hu_5,hu_6,glcm_contrast,glcm_homogeneity,glcm_correlation,baseline_ratio",0.5416666666666666,0.5384615384615384,0.5833333333333334,0.56,0.578125
7,9,"hu_0,hu_1,hu_2,hu_3,hu_6,glcm_contrast,glcm_homogeneity,glcm_correlation,baseline_ratio",0.6708333333333333,0.6453900709219859,0.7583333333333333,0.6973180076628352,0.7713541666666666
8,9,"hu_0,hu_1,hu_2,hu_3,hu_5,glcm_contrast,glcm_homogeneity,glcm_correlation,baseline_ratio",0.6666666666666666,0.6851851851851852,0.6166666666666667,0.6491228070175439,0.7024305555555556
9,10,"hu_0,hu_1,hu_2,hu_3,hu_5,hu_6,glcm_contrast,glcm_homogeneity,glcm_correlation,baseline_ratio",0.5125,0.5102040816326531,0.625,0.5617977528089888,0.5540277777777779
