path,writer_id,sample_id,label,aspect_ratio,pixel_density,label_vn
D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_11_6.png,11,6,forged,5.641025641025641,0.024134897360703813,Gia
D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_16_1.png,16,1,forged,5.7894736842105265,0.024310850439882698,Gia
D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_16_13.png,16,13,forged,5.5,0.03381231671554252,Gia
D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_16_15.png,16,15,forged,5.238095238095238,0.030146627565982406,Gia
D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_16_16.png,16,16,forged,5.7894736842105265,0.03102639296187683,Gia
D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_16_17.png,16,17,forged,5.5,0.03398826979472141,Gia
D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_16_18.png,16,18,forged,6.666666666666667,0.02838709677419355,Gia
D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_16_19.png,16,19,forged,5.5,0.029589442815249268,Gia
D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_16_20.png,16,20,forged,5.5,0.028944281524926688,Gia
D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_16_21.png,16,21,forged,6.285714285714286,0.02903225806451613,Gia
D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_16_22.png,16,22,forged,5.0,0.027947214076246334,Gia
D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_16_23.png,16,23,forged,6.875,0.02718475073313783,Gia
D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_16_24.png,16,24,forged,6.470588235294118,0.029208211143695016,Gia
D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_16_4.png,16,4,forged,6.666666666666667,0.029824046920821114,Gia
D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_16_6.png,16,6,forged,7.857142857142857,0.025483870967741934,Gia
D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_21_11.png,21,11,forged,1.6417910447761195,0.08982404692082112,Gia
D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_21_2.png,21,2,forged,1.4569536423841059,0.10343108504398826,Gia
D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_21_20.png,21,20,forged,1.7322834645669292,0.09624633431085045,Gia
D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_21_21.png,21,21,forged,1.8644067796610169,0.09850439882697948,Gia
D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_21_22.png,21,22,forged,1.7886178861788617,0.10806451612903226,Gia
D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_21_4.png,21,4,forged,1.4965986394557824,0.09671554252199413,Gia
D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_21_5.png,21,5,forged,1.71875,0.09208211143695015,Gia
D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_21_6.png,21,6,forged,1.4666666666666666,0.10284457478005865,Gia
D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_22_18.png,22,18,forged,1.3741935483870968,0.08750733137829912,Gia
D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_31_1.png,31,1,forged,1.4666666666666666,0.0881524926686217,Gia
D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_31_21.png,31,21,forged,1.367741935483871,0.09724340175953079,Gia
D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_31_23.png,31,23,forged,1.4,0.09580645161290323,Gia
D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_53_12.png,53,12,forged,4.888888888888889,0.022287390029325515,Gia
D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_53_2.png,53,2,forged,5.116279069767442,0.02504398826979472,Gia
D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_53_23.png,53,23,forged,5.238095238095238,0.024721407624633433,Gia
D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_53_3.png,53,3,forged,5.0,0.0218475073313783,Gia
D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_53_8.png,53,8,forged,5.365853658536586,0.02087976539589443,Gia
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_16_13.png,16,13,genuine,7.857142857142857,0.024604105571847508,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_16_15.png,16,15,genuine,7.586206896551724,0.025835777126099708,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_16_18.png,16,18,genuine,7.586206896551724,0.028005865102639298,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_16_19.png,16,19,genuine,7.857142857142857,0.02653958944281525,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_16_20.png,16,20,genuine,8.148148148148149,0.025747800586510265,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_21_15.png,21,15,genuine,1.5172413793103448,0.13571847507331378,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_21_18.png,21,18,genuine,1.303225806451613,0.12041055718475073,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_21_19.png,21,19,genuine,1.2451612903225806,0.09680351906158358,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_21_21.png,21,21,genuine,1.4,0.12114369501466275,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_21_22.png,21,22,genuine,1.3419354838709678,0.10730205278592375,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_21_23.png,21,23,genuine,1.2838709677419355,0.09665689149560118,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_21_24.png,21,24,genuine,1.1806451612903226,0.09348973607038123,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_21_3.png,21,3,genuine,1.5172413793103448,0.10850439882697947,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_21_4.png,21,4,genuine,1.3741935483870968,0.10392961876832844,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_21_6.png,21,6,genuine,1.3483870967741935,0.10988269794721407,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_21_8.png,21,8,genuine,1.232258064516129,0.09765395894428153,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_21_9.png,21,9,genuine,1.1806451612903226,0.09762463343108504,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_22_10.png,22,10,genuine,1.4697986577181208,0.11005865102639296,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_22_11.png,22,11,genuine,1.303225806451613,0.09838709677419355,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_22_13.png,22,13,genuine,1.422077922077922,0.10442815249266862,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_22_15.png,22,15,genuine,1.3096774193548386,0.09671554252199413,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_22_16.png,22,16,genuine,1.4129032258064516,0.1056891495601173,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_22_18.png,22,18,genuine,1.6296296296296295,0.10492668621700879,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_22_19.png,22,19,genuine,1.4965986394557824,0.1063049853372434,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_22_2.png,22,2,genuine,1.6923076923076923,0.09771260997067449,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_22_20.png,22,20,genuine,1.3483870967741935,0.11545454545454545,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_22_21.png,22,21,genuine,1.5277777777777777,0.10269794721407624,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_22_23.png,22,23,genuine,1.3225806451612903,0.09862170087976539,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_22_24.png,22,24,genuine,1.6296296296296295,0.11730205278592376,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_22_4.png,22,4,genuine,1.4569536423841059,0.10152492668621702,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_22_6.png,22,6,genuine,1.4473684210526316,0.11979472140762464,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_22_7.png,22,7,genuine,1.6176470588235294,0.10771260997067449,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_22_8.png,22,8,genuine,1.476510067114094,0.10096774193548387,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_25_11.png,25,11,genuine,2.4444444444444446,0.09269794721407625,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_25_13.png,25,13,genuine,1.9130434782608696,0.09278592375366569,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_25_22.png,25,22,genuine,2.391304347826087,0.09319648093841643,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_25_6.png,25,6,genuine,1.6923076923076923,0.09454545454545454,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_25_7.png,25,7,genuine,1.6666666666666667,0.09712609970674486,That
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_30_6.png,30,6,genuine,1.7054263565891472,0.09516129032258064,That
