reference_path,query_path,label,pair_type,writer_id_ref,writer_id_query,delta_aspect_ratio,delta_pixel_density,group_vn
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_30_12.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_30_6.png,0,skilled_forgery,30,30,0.0141290322580645,0.05835777126099707,Gia co ky nang
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_25_9.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_25_17.png,0,skilled_forgery,25,25,0.8962962962962959,0.051173020527859235,Gia co ky nang
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_11_1.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_11_9.png,0,skilled_forgery,11,11,2.8614389036924246,0.00434017595307918,Gia co ky nang
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_21_13.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_21_15.png,0,skilled_forgery,21,21,1.077857813968055,0.041788856304985335,Gia co ky nang
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_43_3.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_43_8.png,0,skilled_forgery,43,43,0.37419354838709684,0.03228739002932551,Gia co ky nang
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_11_4.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_11_15.png,0,skilled_forgery,11,11,2.644230769230769,0.0013196480938416424,Gia co ky nang
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_4_9.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_4_22.png,0,skilled_forgery,4,4,3.081232492997199,0.014222873900293254,Gia co ky nang
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_11_1.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_11_22.png,0,skilled_forgery,11,11,2.397558849171752,0.004897360703812317,Gia co ky nang
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_22_24.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_22_19.png,0,skilled_forgery,22,22,0.1398337112622825,0.04741935483870968,Gia co ky nang
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_53_18.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_53_5.png,0,skilled_forgery,53,53,3.6471036585365857,0.0034604105571847503,Gia co ky nang
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_11_11.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_11_21.png,0,skilled_forgery,11,11,3.142857142857143,0.007536656891495606,Gia co ky nang
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_4_17.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_4_20.png,0,skilled_forgery,4,4,2.5824175824175826,0.011319648093841637,Gia co ky nang
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_30_9.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_30_21.png,0,skilled_forgery,30,30,0.2673442333186036,0.042287390029325515,Gia co ky nang
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_31_4.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_31_23.png,0,skilled_forgery,31,31,0.12083333333333335,0.04225806451612903,Gia co ky nang
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_30_18.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_30_5.png,0,skilled_forgery,30,30,0.2916666666666665,0.05697947214076247,Gia co ky nang
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_11_4.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_11_22.png,0,skilled_forgery,11,11,3.3266129032258065,0.00310850439882698,Gia co ky nang
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_16_8.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_16_9.png,0,skilled_forgery,16,16,2.6016859852476286,0.005219941348973606,Gia co ky nang
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_39_9.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_39_5.png,0,skilled_forgery,39,39,2.416978776529339,0.004428152492668619,Gia co ky nang
D:\GitHub\Do_an_tot_nghiep\data\processed\full_org\original_21_11.png,D:\GitHub\Do_an_tot_nghiep\data\processed\full_forg\forgeries_21_19.png,0,skilled_forgery,21,21,0.3966297544535389,0.03612903225806451,Gia co ky nang
