feature,U_stat,p_value,significant_0.05
glcm_correlation,1322727.0,1.2316234766056669e-117,True
glcm_homogeneity,500576.0,6.927527793414352e-80,True
ink_intensity_std,539960.0,3.482153655720167e-64,True
glcm_energy,567048.0,2.1128435599104277e-54,True
ink_intensity_mean,612809.0,9.376851096080085e-40,True
hu_0,1025370.0,3.4670352552756963e-15,True
glcm_contrast,758474.0,8.590171527682752e-09,True
hu_1,981427.0,1.8143097480687724e-08,True
hu_2,945704.0,0.00014203270373925288,True
baseline_ratio,805370.0,0.0007747704742863699,True
hu_3,936046.0,0.0009282866556940207,True
hu_5,935874.0,0.0009578544596338472,True
hu_6,824850.0,0.017938403425898083,True
hu_4,910649.0,0.04395915017455133,True
