writer_id,n_pairs,accuracy,threshold_name,split_id
2,47,0.9361702127659575,EER_balanced,0
3,47,0.9361702127659575,EER_balanced,0
9,47,0.9361702127659575,EER_balanced,0
14,47,1.0,EER_balanced,0
15,47,1.0,EER_balanced,0
34,47,0.9787234042553191,EER_balanced,0
37,47,0.9361702127659575,EER_balanced,0
44,47,1.0,EER_balanced,0
54,47,0.6808510638297872,EER_balanced,0
2,47,0.9148936170212766,FAR_target_10%,0
3,47,0.9574468085106383,FAR_target_10%,0
9,47,0.9361702127659575,FAR_target_10%,0
14,47,1.0,FAR_target_10%,0
15,47,1.0,FAR_target_10%,0
34,47,1.0,FAR_target_10%,0
37,47,0.9574468085106383,FAR_target_10%,0
44,47,1.0,FAR_target_10%,0
54,47,0.6808510638297872,FAR_target_10%,0
4,47,1.0,EER_balanced,1
5,47,0.7659574468085106,EER_balanced,1
10,47,1.0,EER_balanced,1
16,47,0.9787234042553191,EER_balanced,1
18,47,1.0,EER_balanced,1
21,47,0.9148936170212766,EER_balanced,1
26,47,0.9148936170212766,EER_balanced,1
33,47,1.0,EER_balanced,1
47,47,0.8936170212765957,EER_balanced,1
4,47,1.0,FAR_target_10%,1
5,47,0.7446808510638298,FAR_target_10%,1
10,47,1.0,FAR_target_10%,1
16,47,0.9787234042553191,FAR_target_10%,1
18,47,1.0,FAR_target_10%,1
21,47,0.9148936170212766,FAR_target_10%,1
26,47,0.9148936170212766,FAR_target_10%,1
33,47,1.0,FAR_target_10%,1
47,47,0.8936170212765957,FAR_target_10%,1
7,47,0.9787234042553191,EER_balanced,2
8,47,0.8723404255319149,EER_balanced,2
15,47,1.0,EER_balanced,2
20,47,0.9787234042553191,EER_balanced,2
22,47,1.0,EER_balanced,2
34,47,0.9574468085106383,EER_balanced,2
35,47,0.9574468085106383,EER_balanced,2
38,47,1.0,EER_balanced,2
50,47,1.0,EER_balanced,2
7,47,0.9787234042553191,FAR_target_10%,2
8,47,0.9148936170212766,FAR_target_10%,2
15,47,1.0,FAR_target_10%,2
20,47,0.9787234042553191,FAR_target_10%,2
22,47,0.9787234042553191,FAR_target_10%,2
34,47,1.0,FAR_target_10%,2
35,47,1.0,FAR_target_10%,2
38,47,1.0,FAR_target_10%,2
50,47,0.9787234042553191,FAR_target_10%,2
6,47,0.7659574468085106,EER_balanced,3
20,47,0.9787234042553191,EER_balanced,3
21,47,0.9574468085106383,EER_balanced,3
25,47,0.9574468085106383,EER_balanced,3
26,47,0.6808510638297872,EER_balanced,3
29,47,0.9148936170212766,EER_balanced,3
33,47,1.0,EER_balanced,3
40,47,1.0,EER_balanced,3
50,47,1.0,EER_balanced,3
6,47,0.7659574468085106,FAR_target_10%,3
20,47,1.0,FAR_target_10%,3
21,47,0.9787234042553191,FAR_target_10%,3
25,47,0.9574468085106383,FAR_target_10%,3
26,47,0.6808510638297872,FAR_target_10%,3
29,47,0.9148936170212766,FAR_target_10%,3
33,47,1.0,FAR_target_10%,3
40,47,1.0,FAR_target_10%,3
50,47,1.0,FAR_target_10%,3
4,47,1.0,EER_balanced,4
9,47,0.8297872340425532,EER_balanced,4
16,47,0.9574468085106383,EER_balanced,4
24,47,0.7659574468085106,EER_balanced,4
26,47,0.9361702127659575,EER_balanced,4
28,47,0.9361702127659575,EER_balanced,4
29,47,0.9574468085106383,EER_balanced,4
38,47,1.0,EER_balanced,4
44,47,0.8723404255319149,EER_balanced,4
4,47,1.0,FAR_target_10%,4
9,47,0.8297872340425532,FAR_target_10%,4
16,47,0.8936170212765957,FAR_target_10%,4
24,47,0.7659574468085106,FAR_target_10%,4
26,47,0.9361702127659575,FAR_target_10%,4
28,47,0.9361702127659575,FAR_target_10%,4
29,47,0.9574468085106383,FAR_target_10%,4
38,47,1.0,FAR_target_10%,4
44,47,0.8723404255319149,FAR_target_10%,4
