model,writer_id,n_pairs,accuracy,FAR,FRR
rf,6,375,0.7866666666666666,0.21777777777777776,0.20666666666666667
rf,13,375,0.6986666666666667,0.4088888888888889,0.14
rf,14,375,0.8453333333333334,0.08888888888888889,0.25333333333333335
rf,20,375,0.912,0.08444444444444445,0.09333333333333334
rf,27,375,0.712,0.24,0.36
rf,32,375,0.7786666666666666,0.16444444444444445,0.30666666666666664
rf,33,375,0.6933333333333334,0.37333333333333335,0.20666666666666667
rf,42,375,0.912,0.013333333333333334,0.2
rf,44,375,0.64,0.5466666666666666,0.08
rf,50,375,0.7706666666666667,0.29777777777777775,0.12666666666666668
svm,6,375,0.7786666666666666,0.26666666666666666,0.15333333333333332
svm,13,375,0.6986666666666667,0.44,0.09333333333333334
svm,14,375,0.8586666666666667,0.09777777777777778,0.20666666666666667
svm,20,375,0.912,0.09777777777777778,0.07333333333333333
svm,27,375,0.736,0.24444444444444444,0.29333333333333333
svm,32,375,0.7706666666666667,0.19555555555555557,0.28
svm,33,375,0.704,0.37333333333333335,0.18
svm,42,375,0.896,0.017777777777777778,0.23333333333333334
svm,44,375,0.6426666666666667,0.5733333333333334,0.03333333333333333
svm,50,375,0.7413333333333333,0.38222222222222224,0.07333333333333333
