model,writer_id,n_pairs,accuracy,FAR,FRR
siamese,6,375,0.8426666666666667,0.19555555555555557,0.1
siamese,13,375,0.6373333333333333,0.5466666666666666,0.08666666666666667
siamese,14,375,0.9306666666666666,0.04888888888888889,0.1
siamese,20,375,0.8613333333333333,0.2311111111111111,0.0
siamese,27,375,0.72,0.44,0.04
siamese,32,375,0.6906666666666667,0.32,0.29333333333333333
siamese,33,375,0.7973333333333333,0.31555555555555553,0.03333333333333333
siamese,42,375,0.96,0.06666666666666667,0.0
siamese,44,375,0.6,0.6577777777777778,0.013333333333333334
siamese,50,375,0.776,0.2577777777777778,0.17333333333333334
