target_FAR,model,FAR_val_dat_duoc,threshold,FAR_test,FRR_test,accuracy_test
0.05,rf,0.049777777777777775,0.806082130093166,0.043111111111111114,0.6833333333333333,0.7008
0.05,svm,0.049777777777777775,1.1692568569398993,0.04666666666666667,0.6846666666666666,0.6981333333333334
0.05,siamese,0.049777777777777775,-4.710683345794678,0.06311111111111112,0.406,0.7997333333333333
0.05,combined,0.049777777777777775,0.8735248224005816,0.06933333333333333,0.41733333333333333,0.7914666666666667
0.1,rf,0.1,0.722762158969976,0.09066666666666667,0.5186666666666667,0.7381333333333333
0.1,svm,0.1,0.9079988229955971,0.08933333333333333,0.4786666666666667,0.7549333333333333
0.1,siamese,0.09955555555555555,-5.460822582244873,0.14,0.25,0.816
0.1,combined,0.1,0.7146200120499203,0.1582222222222222,0.21866666666666668,0.8176
0.15,rf,0.1497777777777778,0.633559781935831,0.14533333333333334,0.382,0.76
0.15,svm,0.1497777777777778,0.6251341649512105,0.148,0.35133333333333333,0.7706666666666667
0.15,siamese,0.14888888888888888,-6.0740227699279785,0.21955555555555556,0.15066666666666667,0.808
0.15,combined,0.14888888888888888,0.5907451796769698,0.22755555555555557,0.13266666666666665,0.8104
0.2,rf,0.2,0.5633114854153964,0.184,0.3,0.7696
0.2,svm,0.2,0.3419053914219923,0.20044444444444445,0.268,0.7725333333333333
0.2,siamese,0.19955555555555557,-6.555396556854248,0.2777777777777778,0.098,0.7941333333333334
0.2,combined,0.19866666666666666,0.47742997488481254,0.28444444444444444,0.08133333333333333,0.7968
